left_top_x,left_top_y,left_bottom_x,left_bottom_y,right_bottom_x,right_bottom_y,right_top_x,right_top_y
743,306,744,273,826,271,826,304
883,304,879,274,938,277,942,309
892,304,887,275,942,280,947,312
646,317,649,287,692,281,690,308
649,315,653,285,702,278,699,305
653,313,656,285,707,278,705,305
656,315,660,284,717,275,713,303
662,313,664,283,726,276,723,304
669,312,672,282,734,274,732,302
675,313,678,281,745,273,741,303
682,310,683,279,753,272,753,301
689,312,692,276,763,270,760,304
697,311,696,277,772,271,773,305
708,310,710,276,787,271,785,303
717,308,717,276,797,272,797,304
727,308,727,274,807,270,806,303
735,306,736,273,818,270,818,303
744,306,746,272,827,269,826,303
757,306,757,272,838,270,838,304
765,306,765,271,848,269,848,304
778,304,778,272,859,270,859,303
786,305,787,271,869,271,868,304
796,304,797,272,880,271,880,303
808,302,807,270,887,270,888,305
819,302,818,270,896,271,898,305
828,304,828,270,905,272,906,307
841,304,839,271,911,272,913,307
853,304,851,273,922,275,925,309
864,302,861,272,928,274,931,307
875,302,871,272,934,276,938,309
884,301,879,271,940,275,944,308
891,304,887,274,943,279,948,311
658,316,660,286,716,277,714,306
663,313,664,283,725,277,724,306
671,312,674,281,738,274,736,303
679,311,680,280,748,275,747,306
685,311,687,280,758,272,756,303
692,315,695,280,769,270,765,304
700,312,701,278,778,270,777,304
709,309,710,275,787,270,787,304
724,308,726,277,807,270,805,302
734,307,735,274,815,271,814,304
743,306,744,273,826,270,825,303
754,307,755,272,836,269,835,303
762,307,764,272,845,270,844,304
772,307,774,272,858,269,857,303
784,304,785,271,867,270,866,303
798,306,799,272,881,269,881,303
810,303,811,271,890,271,889,303
819,305,819,272,895,272,895,306
830,303,830,270,907,272,907,306
841,303,841,271,914,272,915,305
853,301,850,271,920,273,922,306
861,302,860,272,927,274,930,306
869,304,868,274,932,275,934,307
881,303,878,273,940,276,942,308
890,304,886,275,943,277,946,308
647,317,650,287,695,281,692,310
651,314,653,285,702,281,700,309
654,315,656,285,709,279,708,307
658,315,661,283,719,276,716,306
663,312,666,281,728,275,725,305
670,313,673,282,737,275,735,305
677,311,679,281,746,275,745,305
683,312,685,280,756,272,754,303
690,315,693,280,768,271,765,305
699,310,698,278,775,272,776,305
707,310,709,277,786,273,785,305
717,309,717,278,797,274,796,305
727,309,727,275,807,271,807,305
736,307,737,273,818,270,817,304
746,307,747,272,828,270,827,305
759,307,760,273,841,271,841,305
770,306,770,272,852,271,852,305
781,306,781,270,863,270,862,305
790,304,791,271,871,271,871,305
802,304,801,271,883,270,884,305
813,303,812,270,891,272,893,306
822,305,822,272,900,273,901,306
835,301,832,270,906,272,909,306
844,304,843,271,916,273,917,307
854,303,851,271,922,275,925,309
865,302,863,272,929,275,932,308
874,305,871,275,933,278,937,311
887,302,883,273,941,278,946,311
896,303,891,272,944,278,950,311
647,316,650,286,698,279,695,307
651,315,655,285,705,278,702,306
654,316,658,285,713,276,710,305
661,314,665,283,726,275,723,304
668,313,671,283,734,274,731,302
674,311,676,281,742,274,740,303
681,310,683,279,752,272,751,301
688,312,691,279,763,270,760,303
695,313,698,278,774,270,771,304
710,309,711,276,789,271,788,303
719,308,720,276,799,271,798,302
729,308,729,273,809,270,809,304
738,307,738,272,819,270,818,304
751,306,752,274,835,270,835,303
760,307,762,272,843,271,842,305
770,306,771,272,854,270,854,304
782,305,783,270,864,269,864,304
